id,order,suborder,family,subfamily,genus,in.guild,species,group,in.code,plant,fl.fam,pl.code,date,foundation,microh,plot,repl
155,Lepidoptera,Glossata,Scythrididae,Scythridinae,Scythris,pollinator,iberica,butterfly,scyibe,Leontodon boryi,Asteraceae,leobor,20150707,h,o,5,1
156,Hymenoptera,Aculeata,Andrenidae,Andreninae,Andrena,pollinator,micrandrena sp,bee,andmic,Anthyllis vulneraria subsp pseudoarundana,Fabaceae,antvul,20150727,h,w,1,9
157,Hymenoptera,Aculeata,Halictidae,Halictinae,Lasioglossum,pollinator,cupromicans,bee,lascup,Hormathophylla spinosa,Brassicaceae,horspi,20150715,s,a,14,4
158,Lepidoptera,Glossata,Scythrididae,Scythridinae,Scythris,pollinator,iberica,butterfly,scyibe,Hormathophylla spinosa,Brassicaceae,horspi,20150715,s,a,14,4
159,Diptera,Brachycera,Syrphidae,Syrphinae,Scaeva,pollinator,albomaculata,hoverfly,scaalb,Hormathophylla spinosa,Brassicaceae,horspi,20150706,s,w,9,1
160,Hemiptera,Heteroptera,Lygaeidae,Lygaeinae,Spilostethus,herbivore,pandurus,,spipan,Hormathophylla spinosa,Brassicaceae,horspi,20150706,s,w,9,1
161,Coleoptera,Polyphaga,Chrysomelidae,Galerucinae,Galeruca,herbivore,sp,,galesp,Hormathophylla spinosa,Brassicaceae,horspi,20150707,s,w,7,1
162,Coleoptera,Polyphaga,Cantharidae,Malthininae,Malthinus,predator,sp,,maltsp,Hormathophylla spinosa,Brassicaceae,horspi,20150707,s,w,7,1
163,Hymenoptera,Aculeata,Halictidae,Halictinae,Lasioglossum,pollinator,cupromicans,bee,lascup,Arenaria tetraquetra subsp amabilis,Caryophyllaceae,aretet,20150714,s,w,2,4
164,Diptera,Brachycera,Muscidae,Muscinae,Dasyphora,pollinator,pratorum,fly,daspra,Hormathophylla spinosa,Brassicaceae,horspi,20150716,s,a,11,5
165,Lepidoptera,Glossata,Scythrididae,Scythridinae,Scythris,pollinator,iberica,butterfly,scyibe,Arenaria tetraquetra subsp amabilis,Caryophyllaceae,aretet,20150727,h,w,1,9
166,Diptera,Nematocera,Sciaridae,sp,sp,scavenger,sp,,sciasp,Biscutella glacialis,Brassicaceae,bisgla,20150706,s,w,2,1
167,Hymenoptera,Aculeata,Pompilidae,spA,spA,predator,spA,,pomspa,Hormathophylla spinosa,Brassicaceae,horspi,20150727,s,w,8,9
168,Lepidoptera,Glossata,Scythrididae,Scythridinae,Scythris,pollinator,iberica,butterfly,scyibe,Arenaria tetraquetra subsp amabilis,Caryophyllaceae,aretet,20150724,h,a,14,8
169,Diptera,Brachycera,Bombyliidae,spA,spA,pollinator,spA,fly,bomspa,Leucanthemopsis pectinata,Asteraceae,leupec,20150727,s,w,5,9
170,Hymenoptera,Aculeata,Halictidae,Halictinae,Lasioglossum,pollinator,cupromicans,bee,lascup,Arenaria tetraquetra subsp amabilis,Caryophyllaceae,aretet,20150709,h,a,5,2
171,Coleoptera,Polyphaga,Chrysomelidae,Chrysomelinae,Timarcha,herbivore,sp,,timasp,Hormathophylla spinosa,Brassicaceae,horspi,20150716,s,w,12,5
172,Hymenoptera,Aculeata,Colletidae,Colletinae,Colletes,pollinator,schmidi,bee,colsch,Lotus corniculatus subsp glacialis,Fabaceae,lotcor,20150727,h,w,13,9
173,Hemiptera,Auchenorrhyncha,Cicadoidea,sp,sp,herbivore,sp,,cicasp,Arenaria tetraquetra subsp amabilis,Caryophyllaceae,aretet,20150706,h,w,11,1
174,Diptera,Brachycera,Muscidae,Muscinae,Musca,pollinator,vitripennis,fly,musvit,Arenaria tetraquetra subsp amabilis,Caryophyllaceae,aretet,20150727,h,a,1,9
175,Lepidoptera,Glossata,Scythrididae,Scythridinae,Scythris,pollinator,iberica,butterfly,scyibe,Arenaria tetraquetra subsp amabilis,Caryophyllaceae,aretet,20150709,h,w,6,2
176,Coleoptera,Polyphaga,Buprestidae,Agrilinae,Agrilus,herbivore,spA,,agrspa,Anthyllis vulneraria subsp pseudoarundana,Fabaceae,antvul,20150715,h,w,10,4
177,Hymenoptera,Aculeata,Apidae,Apinae,Apis,pollinator,mellifera,bee,apimel,Arenaria tetraquetra subsp amabilis,Caryophyllaceae,aretet,20150707,h,w,2,1
178,Hymenoptera,Aculeata,Halictidae,Halictinae,Lasioglossum,pollinator,sp,bee,lasisp,Arenaria tetraquetra subsp amabilis,Caryophyllaceae,aretet,20150707,h,w,2,1
179,Diptera,Brachycera,Syrphidae,Syrphinae,Scaeva,pollinator,albomaculata,hoverfly,scaalb,Hormathophylla spinosa,Brassicaceae,horspi,20150711,s,w,8,3
180,Hymenoptera,Aculeata,Apidae,Apinae,Apis,pollinator,mellifera,bee,apimel,Arenaria tetraquetra subsp amabilis,Caryophyllaceae,aretet,20150707,h,a,9,1
181,Hemiptera,Heteroptera,Lygaeidae,Lygaeinae,Spilostethus,herbivore,pandurus,,spipan,Arenaria tetraquetra subsp amabilis,Caryophyllaceae,aretet,20150709,h,a,3,2
182,Diptera,Brachycera,Tachinidae,Exoristinae,Meigenia,parasitoid,majuscula,,meimaj,Hormathophylla spinosa,Brassicaceae,horspi,20150711,s,a,7,3
183,Hymenoptera,Aculeata,Chrysididae,sp,sp,parasitoid,sp,,chrysp,Hormathophylla spinosa,Brassicaceae,horspi,20150710,s,a,9,3
184,Diptera,Nematocera,Sciaridae,sp,sp,scavenger,sp,,sciasp,Arenaria tetraquetra subsp amabilis,Caryophyllaceae,aretet,20150719,h,w,14,6
185,Diptera,Brachycera,Syrphidae,Eristalinae,Eristalis,pollinator,tenax,hoverfly,eriten,Hormathophylla spinosa,Brassicaceae,horspi,20150709,s,a,5,2
186,Hymenoptera,Aculeata,Pompilidae,spB,spB,predator,spB,,pomspb,Arenaria tetraquetra subsp amabilis,Caryophyllaceae,aretet,20150710,h,a,3,3
187,Diptera,Nematocera,Sciaridae,sp,sp,scavenger,sp,,sciasp,Hormathophylla spinosa,Brassicaceae,horspi,20150715,s,a,12,4
188,Diptera,Brachycera,Sarcophagidae,Sarcophaginae,Sarcophaga,scavenger,nigriventris,,sarnig,Arenaria tetraquetra subsp amabilis,Caryophyllaceae,aretet,20150709,h,a,11,2
189,Hymenoptera,Aculeata,Andrenidae,Panurginae,Panurgus,pollinator,cephalotes,bee,pancep,Crepis oporinoides,Asteraceae,creopo,20150717,s,w,14,5
190,Hymenoptera,Aculeata,Anthophoridae,Xylocopinae,Xylocopa,pollinator,valga,bee,xylval,Arenaria tetraquetra subsp amabilis,Caryophyllaceae,aretet,20150711,h,w,6,3
191,Hymenoptera,Aculeata,Colletidae,Hylaeinae,Hylaeus,pollinator,ibericus,bee,hylibe,Arenaria tetraquetra subsp amabilis,Caryophyllaceae,aretet,20150711,h,w,6,3
192,Hemiptera,Heteroptera,Lygaeidae,Lygaeinae,Spilostethus,herbivore,pandurus,,spipan,Arenaria tetraquetra subsp amabilis,Caryophyllaceae,aretet,20150711,h,w,6,3
193,Hymenoptera,Aculeata,Apidae,Apinae,Apis,pollinator,mellifera,bee,apimel,Arenaria tetraquetra subsp amabilis,Caryophyllaceae,aretet,20150716,h,a,9,5
194,Coleoptera,Polyphaga,Coccinellidae,Scymninae,Scymnus,predator,sp,,scymsp,Jasione amethystina,Campanulaceae,jasame,20150706,h,o,4,1
195,Araneae,Opisthothelae,Salticidae,sp,sp,predator,sp,,saltsp,Arenaria tetraquetra subsp amabilis,Caryophyllaceae,aretet,20150706,h,a,11,1
196,Hymenoptera,Aculeata,Apidae,Apinae,Apis,pollinator,mellifera,bee,apimel,Arenaria tetraquetra subsp amabilis,Caryophyllaceae,aretet,20150711,h,w,1,3
197,Diptera,Brachycera,Sepsidae,Sepsinae,Sepsis,scavenger,thoracica,,septho,Arenaria tetraquetra subsp amabilis,Caryophyllaceae,aretet,20150715,h,w,7,4
198,Hymenoptera,Aculeata,Megachilidae,Megachilinae,Hoplitis,pollinator,ravouxi,bee,hoprav,Jasione amethystina,Campanulaceae,jasame,20150707,h,w,5,1
199,Lepidoptera,Glossata,Scythrididae,Scythridinae,Scythris,pollinator,iberica,butterfly,scyibe,Jasione amethystina,Campanulaceae,jasame,20150707,h,w,5,1
200,Hymenoptera,Aculeata,Vespidae,Eumeninae,Ancistrocerus,predator,scoticus,,ancsco,Hormathophylla spinosa,Brassicaceae,horspi,20150709,s,w,5,2
201,Coleoptera,Polyphaga,Chrysomelidae,Chrysomelinae,Timarcha,herbivore,sp,,timasp,Hormathophylla spinosa,Brassicaceae,horspi,20150709,s,w,5,2
202,Hymenoptera,Aculeata,Megachilidae,Megachilinae,Hoplitis,pollinator,mitis granadae,bee,hopmit,Jasione amethystina,Campanulaceae,jasame,20150706,h,o,11,1
203,Hymenoptera,Aculeata,Apidae,Apinae,Apis,pollinator,mellifera,bee,apimel,Sideritis glacialis,Lamiaceae,sidgla,20150723,h,o,5,7
204,Hymenoptera,Parasitica,Braconidae,Cheloninae,Ascogaster,parasitoid,grahami,,ascgra,Hormathophylla spinosa,Brassicaceae,horspi,20150724,s,a,14,8
205,Diptera,Brachycera,Bombyliidae,spB,spB,pollinator,spB,fly,bomspb,Arenaria tetraquetra subsp amabilis,Caryophyllaceae,aretet,20150710,h,w,12,3
206,Lepidoptera,Glossata,Scythrididae,Scythridinae,Scythris,pollinator,iberica,butterfly,scyibe,Arenaria tetraquetra subsp amabilis,Caryophyllaceae,aretet,20150724,h,a,5,8
207,Lepidoptera,Glossata,Scythrididae,Scythridinae,Scythris,pollinator,iberica,butterfly,scyibe,Arenaria tetraquetra subsp amabilis,Caryophyllaceae,aretet,20150724,h,a,5,8
208,Lepidoptera,Glossata,Scythrididae,Scythridinae,Scythris,pollinator,iberica,butterfly,scyibe,Arenaria tetraquetra subsp amabilis,Caryophyllaceae,aretet,20150724,h,a,5,8
209,Hymenoptera,Aculeata,Halictidae,Halictinae,Lasioglossum,pollinator,cupromicans,bee,lascup,Lotus corniculatus subsp glacialis,Fabaceae,lotcor,20150709,s,o,8,2
210,Diptera,Brachycera,Syrphidae,Syrphinae,Scaeva,pollinator,albomaculata,hoverfly,scaalb,Hormathophylla spinosa,Brassicaceae,horspi,20150710,s,w,9,3
211,Hymenoptera,Parasitica,Braconidae,Cheloninae,Chelonus,parasitoid,spA,,chespa,Arenaria tetraquetra subsp amabilis,Caryophyllaceae,aretet,20150707,h,w,9,1
212,Diptera,Brachycera,Bombyliidae,spA,spA,pollinator,spA,fly,bomspa,Arenaria tetraquetra subsp amabilis,Caryophyllaceae,aretet,20150723,h,w,7,7
213,Coleoptera,Polyphaga,Malachiidae,Malachiinae,spA,predator,spA,,malspa,Leontodon boryi,Asteraceae,leobor,20150718,h,o,13,6
214,Diptera,Brachycera,Muscidae,Azeliinae,Thricops,pollinator,culminum,fly,thrcul,Arenaria tetraquetra subsp amabilis,Caryophyllaceae,aretet,20150717,h,w,4,5
215,Lepidoptera,Glossata,Scythrididae,Scythridinae,Scythris,pollinator,iberica,butterfly,scyibe,Arenaria tetraquetra subsp amabilis,Caryophyllaceae,aretet,20150706,h,w,3,1
216,Lepidoptera,Glossata,Scythrididae,Scythridinae,Scythris,pollinator,iberica,butterfly,scyibe,Hormathophylla spinosa,Brassicaceae,horspi,20150706,s,w,12,1
217,Diptera,Brachycera,Therevidae,sp,sp,pollinator,sp,fly,thersp,Anthyllis vulneraria subsp pseudoarundana,Fabaceae,antvul,20150706,h,o,14,1
218,Hemiptera,Heteroptera,Lygaeidae,Lygaeinae,Spilostethus,herbivore,pandurus,,spipan,Anthyllis vulneraria subsp pseudoarundana,Fabaceae,antvul,20150706,h,o,14,1
219,Diptera,Brachycera,Syrphidae,Eristalinae,Eristalis,pollinator,tenax,fly,eriten,Hormathophylla spinosa,Brassicaceae,horspi,20150716,s,a,12,5
220,Diptera,Brachycera,Sepsidae,Sepsinae,Sepsis,scavenger,sp,,sepssp,Hormathophylla spinosa,Brassicaceae,horspi,20150716,s,a,12,5
221,Lepidoptera,Glossata,Scythrididae,Scythridinae,Scythris,pollinator,iberica,butterfly,scyibe,Hormathophylla spinosa,Brassicaceae,horspi,20150706,s,a,10,1
222,Coleoptera,Polyphaga,Chrysomelidae,Galerucinae,Galeruca,herbivore,sp,,galesp,Hormathophylla spinosa,Brassicaceae,horspi,20150706,s,a,10,1
223,Hymenoptera,Parasitica,Ichneumonidae,Cryptinae,Gelis,parasitoid,fossae,,gelfos,Hormathophylla spinosa,Brassicaceae,horspi,20150708,s,w,3,2
224,Hemiptera,Heteroptera,Lygaeidae,Lygaeinae,Spilostethus,herbivore,pandurus,,spipan,Arenaria tetraquetra subsp amabilis,Caryophyllaceae,aretet,20150707,h,w,10,1
225,Diptera,Brachycera,Syrphidae,Syrphinae,Scaeva,pollinator,albomaculata,fly,scaalb,Hormathophylla spinosa,Brassicaceae,horspi,20150707,s,a,13,1
226,Hymenoptera,Aculeata,Apidae,Apinae,Apis,pollinator,mellifera,bee,apimel,Hormathophylla spinosa,Brassicaceae,horspi,20150707,s,a,13,1
227,Hymenoptera,Parasitica,Ichneumonidae,Cryptinae,Gelis,parasitoid,fossae,,gelfos,Arenaria tetraquetra subsp amabilis,Caryophyllaceae,aretet,20150714,s,w,3,4
228,Diptera,Brachycera,Tachinidae,Tachininae,Macquartia,parasitoid,tessellum,,mactes,Hormathophylla spinosa,Brassicaceae,horspi,20150719,s,w,7,6
229,Hymenoptera,Aculeata,Andrenidae,Andreninae,Andrena,pollinator,ovatula,bee,andova,Anthyllis vulneraria subsp pseudoarundana,Fabaceae,antvul,20150709,h,w,12,2
230,Diptera,Brachycera,Syrphidae,Syrphinae,Scaeva,pollinator,albomaculata,hoverfly,scaalb,Hormathophylla spinosa,Brassicaceae,horspi,20150724,s,a,6,8
231,Hymenoptera,Parasitica,Braconidae,Cheloninae,Chelonus,parasitoid,spA,,chespa,Arenaria tetraquetra subsp amabilis,Caryophyllaceae,aretet,20150719,h,w,3,6
232,Diptera,Brachycera,Sepsidae,Sepsinae,Sepsis,scavenger,thoracica,,septho,Hormathophylla spinosa,Brassicaceae,horspi,20150723,s,w,14,7
233,Lepidoptera,Glossata,Scythrididae,Scythridinae,Scythris,pollinator,iberica,butterfly,scyibe,Jasione amethystina,Campanulaceae,jasame,20150709,s,o,8,2
234,Diptera,Brachycera,Bombyliidae,spB,spB,pollinator,spB,fly,bomspb,Jasione amethystina,Campanulaceae,jasame,20150708,h,w,7,2
235,Coleoptera,Polyphaga,Malachiidae,Malachiinae,spA,predator,spA,,malspa,Crepis oporinoides,Asteraceae,creopo,20150718,s,w,8,6
236,Diptera,Brachycera,Syrphidae,Eristalinae,Eristalis,pollinator,tenax,hoverfly,eriten,Arenaria tetraquetra subsp amabilis,Caryophyllaceae,aretet,20150723,h,w,1,7
237,Coleoptera,Polyphaga,Curculionidae,Curculioninae,Anisorrynchus,herbivore,sp,,anissp,Arenaria tetraquetra subsp amabilis,Caryophyllaceae,aretet,20150706,h,a,13,1
238,Diptera,Brachycera,Syrphidae,Eristalinae,Eristalis,pollinator,tenax,hoverfly,eriten,Arenaria tetraquetra subsp amabilis,Caryophyllaceae,aretet,20150716,h,a,3,5
239,Diptera,Nematocera,Sciaridae,sp,sp,scavenger,sp,,sciasp,Arenaria tetraquetra subsp amabilis,Caryophyllaceae,aretet,20150716,h,a,12,5
240,Diptera,Nematocera,Sciaridae,sp,sp,scavenger,sp,,sciasp,Crepis oporinoides,Asteraceae,creopo,20150715,s,w,8,4
241,Hymenoptera,Aculeata,Megachilidae,Megachilinae,Megachile,pollinator,parietina,bee,megpar,Lotus corniculatus subsp glacialis,Fabaceae,lotcor,20150724,s,o,14,8
242,Hymenoptera,Aculeata,Pompilidae,spC,spC,predator,spC,,pomspc,Hormathophylla spinosa,Brassicaceae,horspi,20150706,s,a,3,1
243,Hymenoptera,Aculeata,Megachilidae,Megachilinae,Melanosmia,pollinator,sp,bee,melasp,Chaenorhinum glareosum,Scrophulariaceae,chagla,20150714,h,o,14,4
244,Lepidoptera,Glossata,Scythrididae,Scythridinae,Scythris,pollinator,iberica,butterfly,scyibe,Anthyllis vulneraria subsp pseudoarundana,Fabaceae,antvul,20150715,h,w,11,4
245,Hymenoptera,Aculeata,Andrenidae,Andreninae,Andrena,pollinator,ovatula,bee,andova,Anthyllis vulneraria subsp pseudoarundana,Fabaceae,antvul,20150714,s,o,11,4
246,Hymenoptera,Aculeata,Apidae,Apinae,Apis,pollinator,mellifera,bee,apimel,Hormathophylla spinosa,Brassicaceae,horspi,20150707,s,w,13,1
247,Hymenoptera,Aculeata,Megachilidae,Megachilinae,Megachile,pollinator,sp,bee,megasp,Anthyllis vulneraria subsp pseudoarundana,Fabaceae,antvul,20150707,h,w,1,1
248,Hemiptera,Heteroptera,Lygaeidae,Lygaeinae,Spilostethus,herbivore,pandurus,,spipan,Jasione amethystina,Campanulaceae,jasame,20150708,h,w,2,2
249,Diptera,Brachycera,Syrphidae,Syrphinae,Scaeva,pollinator,albomaculata,hoverfly,scaalb,Hormathophylla spinosa,Brassicaceae,horspi,20150714,s,a,2,4
250,Hymenoptera,Aculeata,Vespidae,Vespinae,Polistes,predator,biglumis,,polbig,Arenaria tetraquetra subsp amabilis,Caryophyllaceae,aretet,20150707,h,w,5,1
251,Hymenoptera,Aculeata,Halictidae,Halictinae,Lasioglossum,pollinator,cupromicans,bee,lascup,Arenaria tetraquetra subsp amabilis,Caryophyllaceae,aretet,20150707,h,w,5,1
252,Hymenoptera,Aculeata,Apidae,Apinae,Bombus,pollinator,terrestris lusitanicus,bumblebee,bomlun,Arenaria tetraquetra subsp amabilis,Caryophyllaceae,aretet,20150711,h,w,5,3
253,Diptera,Brachycera,Tachinidae,Exoristinae,Gonia,parasitoid,capitata,,goncap,Arenaria tetraquetra subsp amabilis,Caryophyllaceae,aretet,20150711,h,w,5,3
254,Coleoptera,Polyphaga,Malachiidae,Malachiinae,spA,predator,spA,,malspa,Hormathophylla spinosa,Brassicaceae,horspi,20150723,s,a,5,7
255,Hymenoptera,Aculeata,Vespidae,Eumeninae,Ancistrocerus,predator,scoticus,,ancsco,Arenaria tetraquetra subsp amabilis,Caryophyllaceae,aretet,20150710,h,w,2,3
256,Coleoptera,Polyphaga,Chrysomelidae,Cryptocephalinae,Labidostomis,herbivore,sp,,labisp,Arenaria tetraquetra subsp amabilis,Caryophyllaceae,aretet,20150710,h,w,2,3
257,Hymenoptera,Aculeata,Megachilidae,Megachilinae,Hoplitis,pollinator,mitis granadae,bee,hopmit,Jasione amethystina,Campanulaceae,jasame,20150711,s,o,11,3
258,Hymenoptera,Aculeata,Halictidae,Halictinae,Lasioglossum,pollinator,cupromicans,bee,lascup,Jasione amethystina,Campanulaceae,jasame,20150711,s,o,11,3
259,Hymenoptera,Aculeata,Apidae,Apinae,Apis,pollinator,mellifera,bee,apimel,Arenaria tetraquetra subsp amabilis,Caryophyllaceae,aretet,20150707,h,a,6,1
260,Diptera,Brachycera,Therevidae,sp,sp,pollinator,sp,fly,thersp,Hormathophylla spinosa,Brassicaceae,horspi,20150710,s,w,1,3
261,Diptera,Brachycera,Syrphidae,Eristalinae,Eristalis,pollinator,tenax,fly,eriten,Arenaria tetraquetra subsp amabilis,Caryophyllaceae,aretet,20150724,h,w,5,8
262,Hymenoptera,Parasitica,Ichneumonidae,Cryptinae,Gelis,parasitoid,forticornis,,gelfor,Arenaria tetraquetra subsp amabilis,Caryophyllaceae,aretet,20150719,h,w,2,6
263,Hymenoptera,Aculeata,Megachilidae,Megachilinae,Megachile,pollinator,parietina,bee,megpar,Anthyllis vulneraria subsp pseudoarundana,Fabaceae,antvul,20150706,h,w,14,1
264,Hymenoptera,Parasitica,Ichneumonidae,Cryptinae,Gelis,parasitoid,fossae,,gelfos,Chaenorhinum glareosum,Scrophulariaceae,chagla,20150707,s,w,4,1
265,Hymenoptera,Parasitica,Eurytomidae,Eurytominae,Bruchophagus,herbivore,sp,,bruchsp,Anthyllis vulneraria subsp pseudoarundana,Fabaceae,antvul,20150719,s,o,1,6
266,Lepidoptera,Glossata,Scythrididae,Scythridinae,Scythris,pollinator,iberica,butterfly,scyibe,Arenaria tetraquetra subsp amabilis,Caryophyllaceae,aretet,20150709,h,w,8,2
267,Hymenoptera,Parasitica,Ichneumonidae,Cryptinae,Gelis,parasitoid,fossae,,gelfos,Hormathophylla spinosa,Brassicaceae,horspi,20150711,s,a,3,3
268,Hymenoptera,Aculeata,Megachilidae,Megachilinae,Megachile,pollinator,parietina,bee,megpar,Lotus corniculatus subsp glacialis,Fabaceae,lotcor,20150715,s,w,14,4
269,Hymenoptera,Aculeata,Apidae,Apinae,Apis,pollinator,mellifera,bee,apimel,Sideritis glacialis,Lamiaceae,sidgla,20150714,h,w,9,4
270,Diptera,Brachycera,Lonchaeidae,sp,sp,herbivore,sp,,loncsp,Arenaria tetraquetra subsp amabilis,Caryophyllaceae,aretet,20150723,h,w,14,7
271,Hymenoptera,Parasitica,Braconidae,Cheloninae,Chelonus,parasitoid,spB,,chespb,Arenaria tetraquetra subsp amabilis,Caryophyllaceae,aretet,20150723,h,w,14,7
272,Hymenoptera,Aculeata,Andrenidae,Panurginae,Panurgus,pollinator,cephalotes,bee,pancep,Leontodon boryi,Asteraceae,leobor,20150723,h,w,14,7
273,Hymenoptera,Aculeata,Megachilidae,Megachilinae,Anthidium,pollinator,montanum,bee,antmon,Anthyllis vulneraria subsp pseudoarundana,Fabaceae,antvul,20150716,h,w,12,5
274,Diptera,Brachycera,Syrphidae,Syrphinae,Scaeva,pollinator,albomaculata,hoverfly,scaalb,Leucanthemopsis pectinata,Asteraceae,leupec,20150723,s,o,13,7
275,Lepidoptera,Rhopalocera,Lycaenidae,Polyommatinae,Lampides,pollinator,boeticus,butterfly,lamboe,Sideritis glacialis,Lamiaceae,sidgla,20150724,s,o,7,8
276,Lepidoptera,Rhopalocera,Pieridae,Pierinae,Pieris,pollinator,rapae,butterfly,pierap,Hormathophylla spinosa,Brassicaceae,horspi,20150710,s,a,5,3
277,Lepidoptera,Rhopalocera,Lycaenidae,Polyommatinae,Polyommatus,pollinator,icarus,butterfly,polica,Arenaria tetraquetra subsp amabilis,Caryophyllaceae,aretet,20150708,h,a,2,2
278,Lepidoptera,Rhopalocera,Nymphalidae,Heliconiinae,Issoria,pollinator,lathonia,butterfly,isslat,Leucanthemopsis pectinata,Asteraceae,leupec,20150727,s,o,5,9
279,Lepidoptera,Rhopalocera,Lycaenidae,Polyommatinae,Polyomathus,pollinator,belargus,butterfly,polbel,Sideritis glacialis,Lamiaceae,sidgla,20150709,h,o,8,2
282,Hymenoptera,Aculeata,Megachilidae,Megachilinae,Hoplitis,pollinator,mitis granadae,bee,hopmit,Jasione amethystina,Campanulaceae,jasame,20150710,h,w,11,3
283,Diptera,Nematocera,Sciaridae,sp,sp,scavenger,sp,,sciasp,Arenaria tetraquetra subsp amabilis,Caryophyllaceae,aretet,20150709,h,w,11,2
284,Hymenoptera,Aculeata,Apidae,Apinae,Apis,pollinator,mellifera,bee,apimel,Arenaria tetraquetra subsp amabilis,Caryophyllaceae,aretet,20150706,h,a,3,1
285,Hymenoptera,Aculeata,Apidae,Apinae,Apis,pollinator,mellifera,bee,apimel,Hormathophylla spinosa,Brassicaceae,horspi,20150706,s,w,2,1
286,Hymenoptera,Aculeata,Apidae,Apinae,Apis,pollinator,mellifera,bee,apimel,Hormathophylla spinosa,Brassicaceae,horspi,20150706,s,a,2,1
287,Hymenoptera,Aculeata,Apidae,Apinae,Apis,pollinator,mellifera,bee,apimel,Hormathophylla spinosa,Brassicaceae,horspi,20150706,s,a,3,1
288,Hymenoptera,Aculeata,Megachilidae,Megachilinae,Megachile,pollinator,parietina,bee,megpar,Anthyllis vulneraria subsp pseudoarundana,Fabaceae,antvul,20150706,s,o,12,1
289,Hymenoptera,Aculeata,Apidae,Apinae,Apis,pollinator,mellifera,bee,apimel,Hormathophylla spinosa,Brassicaceae,horspi,20150706,s,a,9,1
290,Hymenoptera,Aculeata,Apidae,Apinae,Apis,pollinator,mellifera,bee,apimel,Hormathophylla spinosa,Brassicaceae,horspi,20150706,s,w,9,1
291,Hymenoptera,Aculeata,Apidae,Apinae,Apis,pollinator,mellifera,bee,apimel,Jasione amethystina,Campanulaceae,jasame,20150706,h,w,7,1
292,Hymenoptera,Aculeata,Apidae,Apinae,Apis,pollinator,mellifera,bee,apimel,Arenaria tetraquetra subsp amabilis,Caryophyllaceae,aretet,20150706,h,w,7,1
293,Diptera,Brachycera,Bombyliidae,spB,spB,pollinator,spB,fly,bomspb,Jasione amethystina,Campanulaceae,jasame,20150706,h,w,13,1
294,Hymenoptera,Aculeata,Apidae,Apinae,Apis,pollinator,mellifera,bee,apimel,Arenaria tetraquetra subsp amabilis,Caryophyllaceae,aretet,20150706,h,a,12,1
295,Diptera,Brachycera,Syrphidae,Eristalinae,Eristalis,pollinator,tenax,hoverfly,eriten,Hormathophylla spinosa,Brassicaceae,horspi,20150706,s,a,6,1
296,Hymenoptera,Aculeata,Apidae,Apinae,Apis,pollinator,mellifera,bee,apimel,Hormathophylla spinosa,Brassicaceae,horspi,20150706,s,w,6,1
297,Hymenoptera,Aculeata,Apidae,Apinae,Apis,pollinator,mellifera,bee,apimel,Hormathophylla spinosa,Brassicaceae,horspi,20150706,s,a,12,1
298,Hymenoptera,Aculeata,Megachilidae,Megachilinae,Megachile,pollinator,parietina,bee,megpar,Anthyllis vulneraria subsp pseudoarundana,Fabaceae,antvul,20150706,s,o,12,1
299,Diptera,Brachycera,Syrphidae,Eristalinae,Eristalis,pollinator,tenax,fly,eriten,Arenaria tetraquetra subsp amabilis,Caryophyllaceae,aretet,20150706,h,w,14,1
300,Hymenoptera,Aculeata,Apidae,Apinae,Apis,pollinator,mellifera,bee,apimel,Arenaria tetraquetra subsp amabilis,Caryophyllaceae,aretet,20150706,h,w,14,1
301,Hymenoptera,Aculeata,Apidae,Apinae,Apis,pollinator,mellifera,bee,apimel,Hormathophylla spinosa,Brassicaceae,horspi,20150707,s,a,14,1
302,Hymenoptera,Aculeata,Apidae,Apinae,Bombus,pollinator,vestalis,bumblebee,bomves,Hormathophylla spinosa,Brassicaceae,horspi,20150707,s,w,14,1
303,Hymenoptera,Aculeata,Apidae,Apinae,Apis,pollinator,mellifera,bee,apimel,Hormathophylla spinosa,Brassicaceae,horspi,20150707,s,w,13,1
304,Hymenoptera,Aculeata,Megachilidae,Megachilinae,Megachile,pollinator,parietina,bee,megpar,Anthyllis vulneraria subsp pseudoarundana,Fabaceae,antvul,20150707,h,o,2,1
305,Hymenoptera,Aculeata,Halictidae,Halictinae,Lasioglossum,pollinator,cupromicans,bee,lascup,Jasione amethystina,Campanulaceae,jasame,20150707,s,o,4,1
306,Diptera,Brachycera,Syrphidae,Eristalinae,Eristalis,pollinator,tenax,hoverfly,eriten,Hormathophylla spinosa,Brassicaceae,horspi,20150707,s,w,4,1
307,Diptera,Brachycera,Syrphidae,Syrphinae,Scaeva,pollinator,albomaculata,hoverfly,scaalb,Lotus corniculatus subsp glacialis,Fabaceae,lotcor,20150707,s,o,8,1
308,Hymenoptera,Aculeata,Apidae,Apinae,Apis,pollinator,mellifera,bee,apimel,Arenaria tetraquetra subsp amabilis,Caryophyllaceae,aretet,20150708,h,a,12,2
309,Hymenoptera,Aculeata,Apidae,Apinae,Apis,pollinator,mellifera,bee,apimel,Hormathophylla spinosa,Brassicaceae,horspi,20150708,s,a,11,2
310,Hymenoptera,Aculeata,Apidae,Apinae,Apis,pollinator,mellifera,bee,apimel,Arenaria tetraquetra subsp amabilis,Caryophyllaceae,aretet,20150708,h,w,14,2
311,Hymenoptera,Aculeata,Apidae,Apinae,Apis,pollinator,mellifera,bee,apimel,Arenaria tetraquetra subsp amabilis,Caryophyllaceae,aretet,20150708,h,a,14,2
